battery_id,framework_formula,graph_file,status,num_atoms,num_edges
BAT_02215,Fe5O8,BAT_02215.pt,success,13,552
BAT_02216,FeO4,BAT_02216.pt,success,20,484
BAT_02217,Fe7O12,BAT_02217.pt,success,19,834
BAT_02218,Fe5O16,BAT_02218.pt,success,21,816
BAT_02219,Fe5O12,BAT_02219.pt,success,17,588
BAT_02221,FeO2,BAT_02221.pt,success,6,284
BAT_02222,FeO2,BAT_02222.pt,success,24,1064
BAT_02224,FeO2,BAT_02224.pt,success,18,656
BAT_02225,FeO2,BAT_02225.pt,success,18,636
BAT_02227,FeO3,BAT_02227.pt,success,16,464
BAT_02228,Fe5O8,BAT_02228.pt,success,52,2328
BAT_02229,FeO2,BAT_02229.pt,success,12,528
BAT_02230,Fe3(PO4)4,BAT_02230.pt,success,46,1756
BAT_02231,Fe3(P2O7)2,BAT_02231.pt,success,42,1708
BAT_02232,FePO4,BAT_02232.pt,success,18,612
BAT_02233,FePO4,BAT_02233.pt,success,12,560
BAT_02236,Fe4P9O32,BAT_02236.pt,success,90,3264
BAT_02238,Fe(PO3)4,BAT_02238.pt,success,34,1028
BAT_02239,FePO4,BAT_02239.pt,success,72,1840
BAT_02240,FeP2O7,BAT_02240.pt,success,20,788
BAT_02241,FePO4,BAT_02241.pt,success,24,736
BAT_02242,Fe(PO3)3,BAT_02242.pt,success,52,1928
BAT_02243,FePO4,BAT_02243.pt,success,24,664
BAT_02244,FePO4,BAT_02244.pt,success,24,1000
BAT_02245,Fe2(PO4)3,BAT_02245.pt,success,68,2520
BAT_02246,FeP2O7,BAT_02246.pt,success,20,680
BAT_02248,Fe3P3O11,BAT_02248.pt,success,68,2700
BAT_02249,Fe3(PO4)4,BAT_02249.pt,success,69,2634
BAT_02250,Fe(PO4)2,BAT_02250.pt,success,44,1266
BAT_02251,FeP2O7,BAT_02251.pt,success,20,772
BAT_02252,Fe(PO3)5,BAT_02252.pt,success,42,1368
BAT_02254,Fe(PO3)4,BAT_02254.pt,success,68,2728
BAT_02255,FePO4,BAT_02255.pt,success,36,1188
BAT_02256,Fe2(PO4)3,BAT_02256.pt,success,68,2624
BAT_02257,Fe2P3O13,BAT_02257.pt,success,36,1288
BAT_02259,FeP2O7,BAT_02259.pt,success,10,418
BAT_02260,Fe2P5O16,BAT_02260.pt,success,46,1532
BAT_02261,FeP2O7,BAT_02261.pt,success,40,1288
BAT_02262,Fe2(PO4)3,BAT_02262.pt,success,34,1192
BAT_02263,Fe3P4O15,BAT_02263.pt,success,88,3264
BAT_02264,Fe5(P2O7)4,BAT_02264.pt,success,82,3056
BAT_02265,FeP4O13,BAT_02265.pt,success,36,1142
BAT_02266,FeP2O7,BAT_02266.pt,success,40,1584
BAT_02267,Fe3P8O29,BAT_02267.pt,success,80,2656
BAT_02268,Fe3P3O13,BAT_02268.pt,success,38,1480
BAT_02269,Fe2P3O10,BAT_02269.pt,success,30,1336
BAT_02270,FeP2O7,BAT_02270.pt,success,20,708
BAT_02272,FeP2O7,BAT_02272.pt,success,40,1356
BAT_02273,Fe2P2O9,BAT_02273.pt,success,52,1924
BAT_02274,Fe(PO3)3,BAT_02274.pt,success,52,2192
BAT_02275,FeP2O7,BAT_02275.pt,success,40,1412
BAT_02276,FeP2O7,BAT_02276.pt,success,40,1376
BAT_02277,Fe5(P3O11)2,BAT_02277.pt,success,66,2584
BAT_02278,FePO4,BAT_02278.pt,success,24,716
