battery_id,framework_formula,id_charge,id_discharge,charge_file,discharge_file,charge_status,discharge_status
BAT_00048,CrB3(HO3)3,mp-778931,mp-778018,BAT_00048_mp-778931.cif,BAT_00048_mp-778018.cif,downloaded,downloaded
BAT_00051,CoBO3,mp-765572,mp-1177143,BAT_00051_mp-765572.cif,BAT_00051_mp-1177143.cif,downloaded,downloaded
BAT_00052,Mn2Fe(BO3)4,mp-766489,mp-766508,BAT_00052_mp-766489.cif,BAT_00052_mp-766508.cif,downloaded,downloaded
BAT_00053,Cr(BO3)2,mp-759279,mp-760261,BAT_00053_mp-759279.cif,BAT_00053_mp-760261.cif,downloaded,downloaded
BAT_00055,FeBO3,mp-764518,mp-849710,BAT_00055_mp-764518.cif,BAT_00055_mp-849710.cif,downloaded,downloaded
BAT_00056,FeBO3,mp-774381,mp-777049,BAT_00056_mp-774381.cif,BAT_00056_mp-777049.cif,downloaded,downloaded
BAT_00058,FeBO3,mp-764478,mp-761220,BAT_00058_mp-764478.cif,BAT_00058_mp-761220.cif,downloaded,downloaded
BAT_00059,FeBO3,mp-761206,mp-760195,BAT_00059_mp-761206.cif,BAT_00059_mp-760195.cif,downloaded,downloaded
BAT_00060,FeBO3,mp-849747,mp-1176890,BAT_00060_mp-849747.cif,BAT_00060_mp-1176890.cif,downloaded,downloaded
BAT_00061,FeBO3,mp-775187,mp-764896,BAT_00061_mp-775187.cif,BAT_00061_mp-764896.cif,downloaded,downloaded
BAT_00062,FeBO4,mp-759625,mp-760269,BAT_00062_mp-759625.cif,BAT_00062_mp-760269.cif,downloaded,downloaded
BAT_00063,Fe(BO3)2,mp-766461,mp-770825,BAT_00063_mp-766461.cif,BAT_00063_mp-770825.cif,downloaded,downloaded
BAT_00064,Fe3(BO3)4,mp-766497,mp-766507,BAT_00064_mp-766497.cif,BAT_00064_mp-766507.cif,downloaded,downloaded
BAT_00065,FeBPO7,mp-777716,mp-756319,BAT_00065_mp-777716.cif,BAT_00065_mp-756319.cif,downloaded,downloaded
BAT_00067,MnBO3,mp-759375,mp-753767,BAT_00067_mp-759375.cif,BAT_00067_mp-753767.cif,downloaded,downloaded
BAT_00069,MnBO3,mp-25296,mp-19131,BAT_00069_mp-25296.cif,BAT_00069_mp-19131.cif,downloaded,downloaded
BAT_00070,MnBO3,mp-850898,mp-754552,BAT_00070_mp-850898.cif,BAT_00070_mp-754552.cif,downloaded,downloaded
BAT_00071,MnBO3,mp-849588,mp-831163,BAT_00071_mp-849588.cif,BAT_00071_mp-831163.cif,downloaded,downloaded
BAT_00072,MnBO3,mp-756059,mp-849269,BAT_00072_mp-756059.cif,BAT_00072_mp-849269.cif,downloaded,downloaded
BAT_00073,MnBO3,mp-781682,mp-780308,BAT_00073_mp-781682.cif,BAT_00073_mp-780308.cif,downloaded,downloaded
BAT_00074,MnBO3,mp-780510,mp-849333,BAT_00074_mp-780510.cif,BAT_00074_mp-849333.cif,downloaded,downloaded
BAT_00075,Mn3(BO3)4,mp-766488,mp-766500,BAT_00075_mp-766488.cif,BAT_00075_mp-766500.cif,downloaded,downloaded
BAT_00077,MnBO3,mp-1570353,mp-776517,BAT_00077_mp-1570353.cif,BAT_00077_mp-776517.cif,downloaded,downloaded
BAT_00078,MnBO3,mp-780665,mp-766536,BAT_00078_mp-780665.cif,BAT_00078_mp-766536.cif,downloaded,downloaded
BAT_00079,MnBO3,mp-779023,mp-779296,BAT_00079_mp-779023.cif,BAT_00079_mp-779296.cif,downloaded,downloaded
BAT_00080,MnBO3,mp-778827,mp-779303,BAT_00080_mp-778827.cif,BAT_00080_mp-779303.cif,downloaded,downloaded
BAT_00081,Mn(BO3)2,mp-766466,mp-770910,BAT_00081_mp-766466.cif,BAT_00081_mp-770910.cif,downloaded,downloaded
BAT_00082,MnBO3,mp-776580,mp-781628,BAT_00082_mp-776580.cif,BAT_00082_mp-781628.cif,downloaded,downloaded
BAT_00083,MnBO3,mp-776450,mp-781617,BAT_00083_mp-776450.cif,BAT_00083_mp-781617.cif,downloaded,downloaded
BAT_00085,MnBO3,mp-849746,mp-776634,BAT_00085_mp-849746.cif,BAT_00085_mp-776634.cif,downloaded,downloaded
BAT_00086,MnBO3,mp-849990,mp-779028,BAT_00086_mp-849990.cif,BAT_00086_mp-779028.cif,downloaded,downloaded
BAT_00088,MnBO3,mp-778403,mp-781619,BAT_00088_mp-778403.cif,BAT_00088_mp-781619.cif,downloaded,downloaded
BAT_00089,MnBO3,mp-777375,mp-778867,BAT_00089_mp-777375.cif,BAT_00089_mp-778867.cif,downloaded,downloaded
BAT_00090,MnBO3,mp-1176667,mp-780137,BAT_00090_mp-1176667.cif,BAT_00090_mp-780137.cif,downloaded,downloaded
BAT_00091,MnBO3,mp-849514,mp-782643,BAT_00091_mp-849514.cif,BAT_00091_mp-782643.cif,downloaded,downloaded
BAT_00092,MnBO3,mp-781607,mp-780156,BAT_00092_mp-781607.cif,BAT_00092_mp-780156.cif,downloaded,downloaded
BAT_00093,MnBO3,mp-849243,mp-781670,BAT_00093_mp-849243.cif,BAT_00093_mp-781670.cif,downloaded,downloaded
BAT_00094,MnBO3,mp-1567236,mp-780105,BAT_00094_mp-1567236.cif,BAT_00094_mp-780105.cif,downloaded,downloaded
BAT_00095,MnBO3,mp-780327,mp-850959,BAT_00095_mp-780327.cif,BAT_00095_mp-850959.cif,downloaded,downloaded
BAT_00097,MnBO3,mp-780524,mp-780199,BAT_00097_mp-780524.cif,BAT_00097_mp-780199.cif,downloaded,downloaded
BAT_00099,MnBO3,mp-781608,mp-780529,BAT_00099_mp-781608.cif,BAT_00099_mp-780529.cif,downloaded,downloaded
BAT_00100,MnBO3,mp-850395,mp-780419,BAT_00100_mp-850395.cif,BAT_00100_mp-780419.cif,downloaded,downloaded
BAT_00101,MnBO3,mp-850920,mp-781610,BAT_00101_mp-850920.cif,BAT_00101_mp-781610.cif,downloaded,downloaded
BAT_00102,MnBO3,mp-782642,mp-780433,BAT_00102_mp-782642.cif,BAT_00102_mp-780433.cif,downloaded,downloaded
BAT_00106,MnBPO7,mp-771706,mp-757046,BAT_00106_mp-771706.cif,BAT_00106_mp-757046.cif,downloaded,downloaded
BAT_00108,NiBO3,mp-1177892,mp-755271,BAT_00108_mp-1177892.cif,BAT_00108_mp-755271.cif,downloaded,downloaded
BAT_00109,VBPO7,mp-771701,mp-768575,BAT_00109_mp-771701.cif,BAT_00109_mp-768575.cif,downloaded,downloaded
BAT_00114,VBO4,mp-754594,mp-754909,BAT_00114_mp-754594.cif,BAT_00114_mp-754909.cif,downloaded,downloaded
BAT_00118,BaCaVP2O9,mp-558004,mp-759611,BAT_00118_mp-558004.cif,BAT_00118_mp-759611.cif,downloaded,downloaded
BAT_00149,Co3BiO8,mp-756635,mp-756423,BAT_00149_mp-756635.cif,BAT_00149_mp-756423.cif,downloaded,downloaded
BAT_00180,V3Bi2(PO4)6,mp-772437,mp-1177171,BAT_00180_mp-772437.cif,BAT_00180_mp-1177171.cif,downloaded,downloaded
BAT_00199,CoH8(CO5)2,mp-759255,mp-770598,BAT_00199_mp-759255.cif,BAT_00199_mp-770598.cif,downloaded,downloaded
BAT_00200,CoH8(CO5)2,mp-772431,mp-770604,BAT_00200_mp-772431.cif,BAT_00200_mp-770604.cif,downloaded,downloaded
BAT_00201,NaCoPCO7,mp-1101670,mp-760344,BAT_00201_mp-1101670.cif,BAT_00201_mp-760344.cif,downloaded,downloaded
BAT_00202,Co2(CO3)3,mp-752772,mp-757737,BAT_00202_mp-752772.cif,BAT_00202_mp-757737.cif,downloaded,downloaded
BAT_00203,Co(CO3)2,mp-752886,mp-1178046,BAT_00203_mp-752886.cif,BAT_00203_mp-1178046.cif,downloaded,downloaded
BAT_00204,Co(CO3)2,mp-758717,mp-753950,BAT_00204_mp-758717.cif,BAT_00204_mp-753950.cif,downloaded,downloaded
BAT_00205,CoCO4,mp-758392,mp-757730,BAT_00205_mp-758392.cif,BAT_00205_mp-757730.cif,downloaded,downloaded
BAT_00206,Co(CO)4,mp-510741,mp-18939,BAT_00206_mp-510741.cif,BAT_00206_mp-18939.cif,downloaded,downloaded
BAT_00207,Co2C2O7,mp-753266,mp-758625,BAT_00207_mp-753266.cif,BAT_00207_mp-758625.cif,downloaded,downloaded
BAT_00209,Co(CO3)2,mp-1641018,mp-767071,BAT_00209_mp-1641018.cif,BAT_00209_mp-767071.cif,downloaded,downloaded
BAT_00210,Co2C2O7,mp-1178537,mp-758125,BAT_00210_mp-1178537.cif,BAT_00210_mp-758125.cif,downloaded,downloaded
BAT_00211,CoPCO7,mp-25464,mp-25458,BAT_00211_mp-25464.cif,BAT_00211_mp-25458.cif,downloaded,downloaded
BAT_00212,Co2C4SO16,mp-770944,mp-780426,BAT_00212_mp-770944.cif,BAT_00212_mp-780426.cif,downloaded,downloaded
