battery_id,framework_formula,num_steps,max_delta_volume,endpoint_delta_abs,volume_residual,abs_volume_residual,contains_F,contains_V,contains_Mn,contains_Fe,contains_Co,contains_Ni
BAT_02338,Zr7Fe(PO4)12,1,0.005845919257834,0.0058119430209894,3.397623684450041e-05,3.397623684450041e-05,True,False,False,True,False,False
BAT_02340,Fe(SO4)2,1,0.047961562025282,0.0479615616688771,3.5640488477151067e-10,3.5640488477151067e-10,True,False,False,True,False,False
BAT_02341,Fe2(SO4)3,1,0.013500310009562,0.0624649933067368,-0.0489646832971748,0.0489646832971748,True,False,False,True,False,False
BAT_02342,Fe2(SO4)3,1,0.11465853565793,0.1146585359819575,-3.2402751315441236e-10,3.2402751315441236e-10,True,False,False,True,False,False
BAT_02343,Fe(SO4)2,1,0.012707052755298,0.0127070535104545,-7.55156541465407e-10,7.55156541465407e-10,True,False,False,True,False,False
BAT_02344,Fe(SO4)2,1,0.011606126403935,0.0114729693400623,0.0001331570638726,0.0001331570638726,True,False,False,True,False,False
BAT_02345,Fe(SbO3)4,1,0.061695609093956,0.0616956095966196,-5.026636884508662e-10,5.026636884508662e-10,True,False,False,True,False,False
BAT_02346,Fe3SbO8,1,0.002839125818661,0.0028391255454762,2.7318477905172167e-10,2.7318477905172167e-10,True,False,False,True,False,False
BAT_02347,Fe5SbO12,1,0.041823463990698,0.0418234613017956,2.688902364655909e-09,2.688902364655909e-09,True,False,False,True,False,False
BAT_02348,Ti3Fe3(SbO8)2,1,0.063156241473495,0.0631562431525801,-1.679085107064715e-09,1.679085107064715e-09,True,False,False,True,False,False
BAT_02350,Fe(SeO3)2,1,0.01786371086121,0.0175501987428266,0.0003135121183833,0.0003135121183833,True,False,False,True,False,False
BAT_02353,Fe(SiO3)2,1,0.046822230923719,0.0447279676909929,0.002094263232726,0.002094263232726,True,False,False,True,False,False
BAT_02354,FeSiO4,2,0.177338363099093,0.1975637371592952,-0.0202253740602021,0.0202253740602021,True,False,False,True,False,False
BAT_02355,Fe(SiO3)2,1,0.028697016187225,0.0286970159162766,2.7094831239748984e-10,2.7094831239748984e-10,True,False,False,True,False,False
BAT_02356,FeSiO4,1,0.025612551482282,0.0249729311096936,0.0006396203725883,0.0006396203725883,True,False,False,True,False,False
BAT_02357,FeSiO4,1,0.012776925520738,0.012776926065005,-5.442670307498343e-10,5.442670307498343e-10,True,False,False,True,False,False
BAT_02358,FeSiO4,1,0.022224319253918,0.0217411376228686,0.0004831816310493,0.0004831816310493,True,False,False,True,False,False
BAT_02359,Fe(SiO3)2,1,0.001721218602808,0.0017212192574643,-6.54656352565286e-10,6.54656352565286e-10,True,False,False,True,False,False
BAT_02425,Na2V3P2O13,1,0.037161785560514,0.0371617855792243,-1.8710338833827223e-11,1.8710338833827223e-11,False,True,False,False,False,False
BAT_02426,Na2VPO6,1,0.02351597811578,0.0229756828085921,0.0005402953071878,0.0005402953071878,False,True,False,False,False,False
BAT_02429,NbNi3O8,1,0.000185989895293,0.0001859899875777,-9.228472367252097e-11,9.228472367252097e-11,False,False,False,False,False,True
BAT_02430,Nb6NiO18,1,0.015943920131109,0.0159439209850657,-8.539567421250727e-10,8.539567421250727e-10,False,False,False,False,False,True
BAT_02431,NbNi3(PO4)6,1,0.01086447975641,0.0108644813071563,-1.550746300468808e-09,1.550746300468808e-09,False,False,False,False,False,True
BAT_02445,NbV3(PO4)6,1,0.037953554849575,0.0379535554073126,-5.577376130383448e-10,5.577376130383448e-10,False,True,False,False,False,False
BAT_02458,Ti3Nb2V3O16,1,0.046599769116147,0.046599770304624,-1.1884770251269215e-09,1.1884770251269215e-09,False,True,False,False,False,False
BAT_02459,Nb4VO12,1,0.008220252077549,0.0081532303503831,6.702172716588177e-05,6.702172716588177e-05,False,True,False,False,False,False
BAT_02460,NbV3O8,1,0.056699325401431,0.1099922853723573,-0.0532929599709263,0.0532929599709263,False,True,False,False,False,False
BAT_02461,Nb7V12O48,1,0.019990567737323,0.0195987765778089,0.000391791159514,0.000391791159514,False,True,False,False,False,False
BAT_02464,NbV3O8,1,0.042690979313021,0.0426909785995016,7.135193061391654e-10,7.135193061391654e-10,False,True,False,False,False,False
