battery_id,framework_formula,formula_charge,formula_discharge,id_charge,id_discharge,max_delta_volume,num_steps
BAT_00289,Ni(CO3)2,Li3Ni2(CO3)4,Li2Ni(CO3)2,mp-765316,mp-766019,0.064203589821126,1
BAT_00291,Ni(CO3)2,LiNi(CO3)2,Li2Ni(CO3)2,mp-758769,mp-759758,0.068057442396159,1
BAT_00292,MnSiCO7,Li2MnSiCO7,Li3MnSiCO7,mp-768606,mp-772668,0.013895798619325,1
BAT_00293,Ni(CO3)2,LiNi(CO3)2,Li2Ni(CO3)2,mp-763540,mp-766032,0.007285311113242,1
BAT_00294,NiCSO7,LiNiCSO7,Li2NiCSO7,mp-770369,mp-771145,0.005053048162229,1
BAT_00295,NiPCO7,LiNiPCO7,Li3NiPCO7,mp-25412,mp-25446,0.042481563700836,2
BAT_00296,Ni2C4SO16,Li4Ni2C4SO16,Li6Ni2C4SO16,mp-778481,mp-776423,0.060481493732431,1
BAT_00298,Mn3CrO8,Mn3CrO8,Li2Mn3CrO8,mp-772951,mp-775679,0.044263271028789,1
BAT_00299,VPCO7,LiVPCO7,Li3VPCO7,mp-753805,mp-25463,0.02099943443297,2
BAT_00300,Mn5Cr3O16,Mn5Cr3O16,Li7Mn10Cr6O32,mp-771053,mp-769505,0.030534358331588,1
BAT_00301,Mn15CrO32,Mn15CrO32,Li8Mn15CrO32,mp-771190,mp-770529,0.074377611139596,1
BAT_00302,MnCrO4,LiMn2Cr2O8,Li2MnCrO4,mp-780849,mp-770856,0.044983324178502,2
BAT_00303,MnCr2O6,LiMnCr2O6,Li3MnCr2O6,mp-850948,mp-774249,0.021698945562994,2
BAT_00304,Mn7Cr12O48,Mn7Cr12O48,Li9Mn7Cr12O48,mp-773028,mp-851099,0.041312813918347,1
BAT_00305,MnCrO4,LiMn2Cr2O8,Li2MnCrO4,mp-780798,mp-755443,0.048076948049716,2
BAT_00306,Mn3CrO8,Mn3CrO8,Li2Mn3CrO8,mp-756043,mp-768844,0.045300576194562,2
BAT_00307,Mn2CrO6,Mn2CrO6,Li3Mn2CrO6,mp-775006,mp-774897,0.078989095602495,1
BAT_00308,Mn13Cr3O32,Mn13Cr3O32,Li8Mn13Cr3O32,mp-775873,mp-775158,0.042027081069449,1
BAT_00309,MnCrO4,Li2Mn3Cr3O12,Li2MnCrO4,mp-850956,mp-1101152,0.00730282389089,1
BAT_00310,Mn5Cr2O12,Mn5Cr2O12,Li3Mn5Cr2O12,mp-755906,mp-850947,0.058107859758662,1
BAT_00311,MnCr(PO4)2,MnCr(PO4)2,Li2MnCr(PO4)2,mp-775016,mp-757355,0.110905957491978,1
